politicalParty,main_phase_1,main_phase_2,followup_disclaimer_phase_1,followup_mitigation_phase_1,followup_mitigation_phase_2
Labour,604 (40.2%),4091 (40.8%),266 (39.8%),300 (39.0%),1019 (40.1%)
Conservative,220 (14.7%),1056 (10.5%),70 (10.5%),69 (9.0%),318 (12.5%)
Liberal Democrats,154 (10.3%),969 (9.7%),59 (8.8%),76 (9.9%),231 (9.1%)
Greens,113 (7.5%),948 (9.5%),55 (8.2%),70 (9.1%),195 (7.7%)
Scottish National Party,44 (2.9%),271 (2.7%),14 (2.1%),21 (2.7%),72 (2.8%)
Reform UK,0 (0.0%),0 (0.0%),52 (7.8%),52 (6.8%),171 (6.7%)
Other,160 (10.7%),805 (8.0%),23 (3.4%),24 (3.1%),53 (2.1%)
Did not vote,156 (10.4%),1329 (13.3%),97 (14.5%),109 (14.2%),349 (13.7%)
Not eligible to vote,17 (1.1%),244 (2.4%),16 (2.4%),23 (3.0%),58 (2.3%)
Prefer not to say,33 (2.2%),304 (3.0%),17 (2.5%),25 (3.3%),77 (3.0%)
n_participants,1501,10017,669,769,2543
